HITId	WorkerId	Input.src	Input.trg	Input.item	hit	sys_id	rid	type	sid	score	time
3HKIF5DF6Z2IOH6S9L2DW88MB4HG90	E0916	de	en	ad	0	uedin-nmt.4723	0	REF	1562	1.13710551047787	1414
3HKIF5DF6Z2IOH6S9L2DW88MB4HG90	E0916	de	en	ad	0	online-F.0	1	SYSTEM	894	-1.62218958895885	1414
3HKIF5DF6Z2IOH6S9L2DW88MB4HG90	E0916	de	en	ad	0	RWTH-nmt-ensemble.4920	2	SYSTEM	1145	1.13710551047787	1414
3HKIF5DF6Z2IOH6S9L2DW88MB4HG90	E0916	de	en	ad	0	uedin-nmt.4723	3	SYSTEM	830	-0.932365814099667	1414
3HKIF5DF6Z2IOH6S9L2DW88MB4HG90	E0916	de	en	ad	0	online-B.0	4	SYSTEM	1375	1.13710551047787	1414
3HKIF5DF6Z2IOH6S9L2DW88MB4HG90	E0916	de	en	ad	0	KIT.4951	5	SYSTEM	2563	1.13710551047787	1414
3HKIF5DF6Z2IOH6S9L2DW88MB4HG90	E0916	de	en	ad	0	LIUM-NMT.4733	6	SYSTEM	445	1.13710551047787	1414
3HKIF5DF6Z2IOH6S9L2DW88MB4HG90	E0916	de	en	ad	0	online-A.0	7	SYSTEM	2151	0.143759274680653	1414
3HKIF5DF6Z2IOH6S9L2DW88MB4HG90	E0916	de	en	ad	0	TALP-UPC.4830	8	SYSTEM	1273	0.143759274680653	1414
3HKIF5DF6Z2IOH6S9L2DW88MB4HG90	E0916	de	en	ad	0	RWTH-nmt-ensemble.4920	9	REF	2519	1.13710551047787	1414
3HKIF5DF6Z2IOH6S9L2DW88MB4HG90	E0916	de	en	ad	0	LIUM-NMT.4733	10	REPEAT	353	-1.62218958895885	1414
3HKIF5DF6Z2IOH6S9L2DW88MB4HG90	E0916	de	en	ad	0	LIUM-NMT.4733	11	SYSTEM	353	-1.62218958895885	1414
3HKIF5DF6Z2IOH6S9L2DW88MB4HG90	E0916	de	en	ad	0	C-3MA.4958	12	SYSTEM	741	1.13710551047787	1414
3HKIF5DF6Z2IOH6S9L2DW88MB4HG90	E0916	de	en	ad	0	SYSTRAN.4846+uedin-nmt.4723+online-A.0	13	SYSTEM	1220	1.13710551047787	1414
3HKIF5DF6Z2IOH6S9L2DW88MB4HG90	E0916	de	en	ad	0	C-3MA.4958	14	REF	1990	1.13710551047787	1414
3HKIF5DF6Z2IOH6S9L2DW88MB4HG90	E0916	de	en	ad	0	uedin-nmt.4723	15	SYSTEM	1084	1.13710551047787	1414
3HKIF5DF6Z2IOH6S9L2DW88MB4HG90	E0916	de	en	ad	0	C-3MA.4958	16	BAD_REF	2147	-1.62218958895885	1414
3HKIF5DF6Z2IOH6S9L2DW88MB4HG90	E0916	de	en	ad	0	C-3MA.4958	17	SYSTEM	1556	-0.242542039240487	1414
